Subject,title,price,description,features,Order_No,Unit,tokenized_text,stemmed_text,lemmatized_text
generic led 2 4g rechargeable wireless mouseksh 640ksh 1 13444 4 5 out of 5 466 ,generic led 2 4g rechargeable wireless mouse,ksh 640,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,1 2 4g wireless transmission technology provides reliable connection within a range of 10m  allows you to say goodbye to the wired shackles and operate more freely ,1677257314,93,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic led 2 4g rechargeable wireless mouseksh 640ksh 1 13444 4 5 out of 5 466 ,generic led 2 4g rechargeable wireless mouse,ksh 640,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,2 ergonomic design  fits the hand  provides comfortable feel  effectively reduces hand fatigue ,1677257314,94,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic led 2 4g rechargeable wireless mouseksh 640ksh 1 13444 4 5 out of 5 466 ,generic led 2 4g rechargeable wireless mouse,ksh 640,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,3 humanized silent design  creates a quiet and comfortable environment whether you are in quiet office or studying late at night in the library ,1677257314,95,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic led 2 4g rechargeable wireless mouseksh 640ksh 1 13444 4 5 out of 5 466 ,generic led 2 4g rechargeable wireless mouse,ksh 640,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,4 three adjustable dpi provide sensitive response and smooth operation  can position accurately in moving ,1677257314,96,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic led 2 4g rechargeable wireless mouseksh 640ksh 1 13444 4 5 out of 5 466 ,generic led 2 4g rechargeable wireless mouse,ksh 640,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,5 slim design  lightweight and portable  you can easily put it in a bag or pocket  more convenient to use ,1677257314,97,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic led 2 4g rechargeable wireless mouseksh 640ksh 1 13444 4 5 out of 5 466 ,generic led 2 4g rechargeable wireless mouse,ksh 640,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,6 no driver requied  plug and play ,1677257314,98,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic led 2 4g rechargeable wireless mouseksh 640ksh 1 13444 4 5 out of 5 466 ,generic led 2 4g rechargeable wireless mouse,ksh 640,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,7 built in 500mah rechargeable batter y  adopt low and energy saving technology  no need to charge the batter y repeatedly ,1677257314,99,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic led 2 4g rechargeable wireless mouseksh 640ksh 1 13444 4 5 out of 5 466 ,generic led 2 4g rechargeable wireless mouse,ksh 640,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,question why the led of mouse is not in colour light  ,1677257314,100,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic led 2 4g rechargeable wireless mouseksh 640ksh 1 13444 4 5 out of 5 466 ,generic led 2 4g rechargeable wireless mouse,ksh 640,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,answer ,1677257314,101,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
generic led 2 4g rechargeable wireless mouseksh 640ksh 1 13444 4 5 out of 5 466 ,generic led 2 4g rechargeable wireless mouse,ksh 640,  delivery from ksh 102  free delivery if order above ksh 1 999  to embakasi east   utawala mihango gsu,specification ,1677257314,102,delivery ksh 102 free delivery order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu,deliveri ksh 102 free deliveri order ksh 1 999 embakasi east utawala mihango gsu
